id, timestamp, demand
1007603, 2021-01-01 00:00:40, 28857
1007604, 2021-01-01 00:05:39, 28762
1007605, 2021-01-01 00:10:41, 28859
1007606, 2021-01-01 00:15:40, 28962
1007607, 2021-01-01 00:20:42, 28992
1007608, 2021-01-01 00:25:39, 28898
1007609, 2021-01-01 00:30:40, 28822
1007610, 2021-01-01 00:35:40, 28861
1007611, 2021-01-01 00:40:40, 29083
1007612, 2021-01-01 00:45:39, 29144
1007613, 2021-01-01 00:50:40, 29136
1007614, 2021-01-01 00:55:40, 29093
1007615, 2021-01-01 01:00:41, 28974
1007616, 2021-01-01 01:05:41, 28852
1007617, 2021-01-01 01:10:39, 28750
1007618, 2021-01-01 01:15:39, 28530
1007619, 2021-01-01 01:20:40, 28289
1007620, 2021-01-01 01:25:39, 28137
1007621, 2021-01-01 01:30:39, 28063
1007622, 2021-01-01 01:35:39, 27906
1007623, 2021-01-01 01:40:40, 27794
1007624, 2021-01-01 01:45:40, 27675
1007625, 2021-01-01 01:50:41, 27608
1007626, 2021-01-01 01:55:40, 27623
1007627, 2021-01-01 02:00:39, 27687
1007628, 2021-01-01 02:05:39, 27608
1007629, 2021-01-01 02:10:44, 27434
1007630, 2021-01-01 02:15:40, 27272
1007631, 2021-01-01 02:20:40, 27129
1007632, 2021-01-01 02:25:40, 27012
1007633, 2021-01-01 02:30:40, 26927
1007634, 2021-01-01 02:35:41, 26888
1007635, 2021-01-01 02:40:39, 26936
1007636, 2021-01-01 02:45:40, 26831
1007637, 2021-01-01 02:50:39, 26718
1007638, 2021-01-01 02:55:39, 26664
1007639, 2021-01-01 03:00:42, 26653
1007640, 2021-01-01 03:05:39, 26685
1007641, 2021-01-01 03:10:39, 26506
1007642, 2021-01-01 03:15:40, 26389
1007643, 2021-01-01 03:20:41, 26323
1007644, 2021-01-01 03:25:39, 26361
1007645, 2021-01-01 03:30:40, 26366
1007646, 2021-01-01 03:35:40, 26283
1007647, 2021-01-01 03:40:39, 25985
1007648, 2021-01-01 03:45:38, 25805
1007649, 2021-01-01 03:50:40, 25861
1007650, 2021-01-01 03:55:40, 25833
1007651, 2021-01-01 04:00:40, 25772
1007652, 2021-01-01 04:05:39, 25693
1007653, 2021-01-01 04:10:41, 25589
1007654, 2021-01-01 04:15:39, 25567
1007655, 2021-01-01 04:20:39, 25540
1007656, 2021-01-01 04:25:40, 25512
1007657, 2021-01-01 04:30:41, 25386
1007658, 2021-01-01 04:35:40, 25302
1007659, 2021-01-01 04:40:40, 25245
1007660, 2021-01-01 04:45:41, 25168
1007661, 2021-01-01 04:50:40, 25158
1007662, 2021-01-01 04:55:40, 25066
1007663, 2021-01-01 05:00:40, 25043
1007664, 2021-01-01 05:05:39, 25104
1007665, 2021-01-01 05:10:40, 25216
1007666, 2021-01-01 05:15:40, 25234
1007667, 2021-01-01 05:20:42, 25166
1007668, 2021-01-01 05:25:39, 25074
1007669, 2021-01-01 05:30:40, 25007
1007670, 2021-01-01 05:35:40, 24952
1007671, 2021-01-01 05:40:40, 24918
1007672, 2021-01-01 05:45:40, 24932
1007673, 2021-01-01 05:50:39, 24948
1007674, 2021-01-01 05:55:39, 25001
1007675, 2021-01-01 06:00:40, 25048
1007676, 2021-01-01 06:05:39, 25127
1007677, 2021-01-01 06:10:40, 25308
1007678, 2021-01-01 06:15:39, 25434
1007679, 2021-01-01 06:20:40, 25513
1007680, 2021-01-01 06:25:40, 25625
1007681, 2021-01-01 06:30:40, 25735
1007682, 2021-01-01 06:35:39, 25782
1007683, 2021-01-01 06:40:40, 25935
1007684, 2021-01-01 06:45:40, 26040
1007685, 2021-01-01 06:50:40, 26071
1007686, 2021-01-01 06:55:39, 25960
1007687, 2021-01-01 07:00:41, 25787
1007688, 2021-01-01 07:05:40, 25667
1007689, 2021-01-01 07:10:39, 25553
1007690, 2021-01-01 07:15:40, 25577
1007691, 2021-01-01 07:20:39, 25690
1007692, 2021-01-01 07:25:40, 25717
1007693, 2021-01-01 07:30:40, 25769
1007694, 2021-01-01 07:35:39, 25832
1007695, 2021-01-01 07:40:41, 25834
1007696, 2021-01-01 07:45:39, 25803
1007697, 2021-01-01 07:50:44, 25816
1007698, 2021-01-01 07:55:39, 25833
1007699, 2021-01-01 08:00:40, 25864
1007700, 2021-01-01 08:05:40, 25926
1007701, 2021-01-01 08:10:40, 26029
1007702, 2021-01-01 08:15:40, 26212
1007703, 2021-01-01 08:20:40, 26387
1007704, 2021-01-01 08:25:40, 26559
1007705, 2021-01-01 08:30:40, 26739
1007706, 2021-01-01 08:35:39, 26850
1007707, 2021-01-01 08:40:42, 26921
1007708, 2021-01-01 08:45:41, 27046
1007709, 2021-01-01 08:50:40, 27288
1007710, 2021-01-01 08:55:41, 27483
1007711, 2021-01-01 09:00:39, 27661
1007712, 2021-01-01 09:05:40, 27623
1007713, 2021-01-01 09:10:40, 28169
1007714, 2021-01-01 09:15:40, 28525
1007715, 2021-01-01 09:20:40, 28700
1007716, 2021-01-01 09:25:41, 28817
1007717, 2021-01-01 09:30:39, 28996
1007718, 2021-01-01 09:35:39, 29231
1007719, 2021-01-01 09:40:39, 29448
1007720, 2021-01-01 09:45:40, 29734
1007721, 2021-01-01 09:50:40, 30091
1007722, 2021-01-01 09:55:39, 30133
1007723, 2021-01-01 10:00:42, 30446
1007724, 2021-01-01 10:05:39, 30680
1007725, 2021-01-01 10:10:42, 30842
1007726, 2021-01-01 10:15:40, 31051
1007727, 2021-01-01 10:20:39, 31255
1007728, 2021-01-01 10:25:40, 31388
1007729, 2021-01-01 10:30:42, 31546
1007730, 2021-01-01 10:35:39, 31834
1007731, 2021-01-01 10:40:40, 32020
1007732, 2021-01-01 10:45:38, 32064
1007733, 2021-01-01 10:50:41, 32262
1007734, 2021-01-01 10:55:40, 32397
1007735, 2021-01-01 11:00:41, 32613
